Bill #,St,Short Subject,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text,Unique ID
SB 136,KY,AN ACT relating to the tu...,AN ACT relating to the tuition credit.,Feb 02 2022,Reassigned To Appropriations & Revenue (S),Mar 08 2022,https://openstates.org/ky/bills/2022RS/SB136/,Wil Schroder,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/sb136/orig_bill.pdf,f2745768832538da397e35f62be1328fc65593ce
SB 375,KY,AN ACT relating to the ta...,AN ACT relating to the tax liability deferral related to child care costs.,Mar 03 2022,To Appropriations & Revenue (S),Mar 07 2022,https://openstates.org/ky/bills/2022RS/SB375/,David Yates,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/sb375/orig_bill.pdf,9f6f7d60af595cc2eb87f1f38ff6010e90ca6ee3
SB 370,KY,AN ACT relating to electr...,AN ACT relating to electric vehicle infrastructure tax credits.,Mar 03 2022,To Appropriations & Revenue (S),Mar 07 2022,https://openstates.org/ky/bills/2022RS/SB370/,David Yates,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/sb370/orig_bill.pdf,e6ac39e3ea0fbf5d8571570b493cec581c66109d
HR 4350,US,National Defense Authoriz...,National Defense Authorization Act for Fiscal Year 2022,Jul 02 2021,Returned To The Calendar. Calendar No. 144.,Mar 01 2022,https://openstates.org/us/bills/117/HR4350/,Adam Smith,Mike Rogers,https://www.govinfo.gov/content/pkg/BILLS-117hr4350pcs/pdf/BILLS-117hr4350pcs.pdf,ee9cf0f99c3ea040d12e3268685f20180d6130b2
HB 696,KY,AN ACT relating to a tax ...,AN ACT relating to a tax credit for renters.,Mar 01 2022,To Committee On Committees (H),Mar 01 2022,https://openstates.org/ky/bills/2022RS/HB696/,Pamela Stevenson,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb696/orig_bill.pdf,1e4f52eb7e6ca90c5d29f48389330e2082afc7e0
HB 718,KY,AN ACT relating to a tax ...,AN ACT relating to a tax credit for primary care preceptors.,Mar 01 2022,To Committee On Committees (H),Mar 01 2022,https://openstates.org/ky/bills/2022RS/HB718/,Kimberly Poore Moser,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb718/orig_bill.pdf,59008b2fa926f5e5de7b7392413425636557b172
HB 711,KY,AN ACT relating to a tax ...,AN ACT relating to a tax credit for volunteer firefighters.,Mar 01 2022,To Committee On Committees (H),Mar 01 2022,https://openstates.org/ky/bills/2022RS/HB711/,Ashley Tackett Laferty,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb711/orig_bill.pdf,4b791dc0204fe0a64c31b5c3325f4e9eb8bab7b3
HB 747,KY,AN ACT relating to a tax ...,AN ACT relating to a tax credit for security modifications.,Mar 01 2022,To Committee On Committees (H),Mar 01 2022,https://openstates.org/ky/bills/2022RS/HB747/,McKenzie Cantrell,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb747/orig_bill.pdf,3c5a81476afbac9869e267ec324a8827866e8085
HB 379,KY,AN ACT relating to data c...,AN ACT relating to data centers.,Jan 27 2022,Floor Amendment (1) Filed,Feb 28 2022,https://openstates.org/ky/bills/2022RS/HB379/,Phillip Pratt,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb379/orig_bill.pdf,0134821fdcc0c4dc1ae99df03ca0a23966fa7743
HB 627,KY,AN ACT relating to a tax ...,AN ACT relating to a tax credit for stillage management.,Feb 28 2022,To Committee On Committees (H),Feb 28 2022,https://openstates.org/ky/bills/2022RS/HB627/,M. Pollock,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb627/orig_bill.pdf,864578e3f0658b8ae41ffdd833f54ca97ea36861
SB 1519,OK,Municipalities and counti...,Municipalities and counties; allowing cities and counties to accept cryptocurrency as payment. Emergency.,Feb 07 2022,Referred To Finance,Feb 28 2022,https://openstates.org/ok/bills/2022/SB1519/,Nathan Dahm,,http://webserver1.lsb.state.ok.us/cf_pdf/2021-22 INT/SB/SB1519 INT.PDF,a9fd6625d22c8202a342e85dccd166a13c6c5ba9
SB 197,KY,AN ACT relating to an ind...,AN ACT relating to an individual income tax credit for stillbirths.,Feb 22 2022,To Appropriations & Revenue (S),Feb 24 2022,https://openstates.org/ky/bills/2022RS/SB197/,Brandon Smith,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/sb197/orig_bill.pdf,96dd285e5d5acae75cb83471092e0cb9b480e50c
HB 555,KY,AN ACT relating to the de...,AN ACT relating to the decontamination tax credit.,Feb 22 2022,To Committee On Committees (H),Feb 22 2022,https://openstates.org/ky/bills/2022RS/HB555/,Chris Freeland,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb555/orig_bill.pdf,30fafa079d20c3b6cefa920c5c81a9b380c2b8d8
HB 556,KY,AN ACT relating to the vo...,AN ACT relating to the voluntary environmental remediation tax credit.,Feb 22 2022,To Committee On Committees (H),Feb 22 2022,https://openstates.org/ky/bills/2022RS/HB556/,Jason Nemes,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb556/orig_bill.pdf,3d29e57cfcd69cf65c35a61f11b222e1acac0ac7
HB 333,KY,AN ACT relating to the co...,AN ACT relating to the community investment tax credit.,Jan 20 2022,Recommitted To Appropriations & Revenue (H),Feb 17 2022,https://openstates.org/ky/bills/2022RS/HB333/,C. Ed Massey,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb333/orig_bill.pdf,6bf785d02e2a0e54800c39fd8b31ef8ef2f854be
HB 483,KY,AN ACT relating to the na...,AN ACT relating to the natural resources severance and processing tax.,Feb 10 2022,To Committee On Committees (H),Feb 10 2022,https://openstates.org/ky/bills/2022RS/HB483/,Suzanne Miles,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb483/orig_bill.pdf,857786e924fab913770c513202bcc8ab93f993ff
HB 467,KY,AN ACT relating to the Ke...,AN ACT relating to the Kentucky opportunity fund and making an appropriation therefor.,Feb 08 2022,To Committee On Committees (H),Feb 08 2022,https://openstates.org/ky/bills/2022RS/HB467/,Josie Raymond,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb467/orig_bill.pdf,59a96aaf72356c13ce4a238038685a5569cbac57
HB 3169,OK,Cryptocurrency; Oklahoma ...,Cryptocurrency; Oklahoma Cryptocurrency Act of 2022; effective date.,Feb 07 2022,Second Reading Referred To Rules,Feb 08 2022,https://openstates.org/ok/bills/2022/HB3169/,Logan Phillips,,http://webserver1.lsb.state.ok.us/cf_pdf/2021-22 INT/hB/HB3169 INT.PDF,be122be14d402735e31d7704e38030486a81c2d8
SB 3076,HI,Relating To Special Purpo...,Relating To Special Purpose Digital Currency Licensure.,Jan 26 2022,The Committee On Cpn Deferred The Measure.,Feb 08 2022,https://openstates.org/hi/bills/2022 Regular Session/SB3076/,Ronald D. Kouchi,,https://capitol.hawaii.gov/sessions/session2022/bills/SB3076_.HTM,608c89a20740bb234c5233107b06b3fb85cffa98
HB 3127,OK,Cryptocurrency; Oklahoma ...,Cryptocurrency; Oklahoma Cryptocurrency Policy Act of 2022; effective date.,Feb 07 2022,Second Reading Referred To Rules,Feb 08 2022,https://openstates.org/ok/bills/2022/HB3127/,Forrest Bennett,,http://webserver1.lsb.state.ok.us/cf_pdf/2021-22 INT/hB/HB3127 INT.PDF,a053f1aa4f064e76d21c44648f27f3277e1ebf4d
SB 1425,OK,Oklahoma Uniform Securiti...,Oklahoma Uniform Securities Act of 2004; modifying definition of security. Effective date.,Feb 07 2022,"Second Reading Referred To Business, Commerce And Tourism",Feb 08 2022,https://openstates.org/ok/bills/2022/SB1425/,John Michael Montgomery,,http://webserver1.lsb.state.ok.us/cf_pdf/2021-22 INT/SB/SB1425 INT.PDF,01638f6629d996da3c3469f9c89a40928f9582cc
SB 5426,WA,Improving the equity of W...,Improving the equity of Washington state's tax code by creating the Washington state wealth tax and taxing extraordinary financial intangible assets.,Feb 04 2021,Scheduled For Public Hearing In The Senate Committee On Ways & Means At 04:00 Pm,Feb 01 2022,https://openstates.org/wa/bills/2021-2022/SB5426/,Sam Hunt,Steve Conway; Mona Das; Manka Dhingra; Bob Hasegawa; Karen Keiser; Patty Kuderer; Liz Lovelett; Joe Nguyen; Rebecca Saldaña; Derek Stanford; C. Wilson,http://lawfilesext.leg.wa.gov/Biennium/2021-22/Htm/Bills/Senate%20Bills/5426.htm,4d6a9639baa0357967be04fef19efd45475f9602
HB 423,KY,AN ACT relating to taxati...,AN ACT relating to taxation.,Feb 01 2022,To Committee On Committees (H),Feb 01 2022,https://openstates.org/ky/bills/2022RS/HB423/,Buddy Wheatley,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb423/orig_bill.pdf,ba77109561a764e7652fbd0b982ce1cdc45392b2
HB 432,KY,AN ACT relating to taxati...,AN ACT relating to taxation of breast pumps and related supplies.,Feb 01 2022,To Committee On Committees (H),Feb 01 2022,https://openstates.org/ky/bills/2022RS/HB432/,Josie Raymond,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb432/orig_bill.pdf,f302bc3f70ff0dc2ec0158404bd8ac15be8c2115
A 9086,NY,Relates to reporting of c...,Relates to reporting of cryptocurrency holdings on the annual statement of financial disclosure,Jan 31 2022,Referred To Governmental Operations,Jan 31 2022,https://openstates.org/ny/bills/2021-2022/A9086/,Dr. Anna R. Kelles,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A9086&term=2021&Text=Y,f2409eeea634aa49031a03a426fc41520b9c3c55
HB 322,KY,AN ACT relating to a tax ...,AN ACT relating to a tax credit for Kentucky Education Savings Plan Trust account contributions.,Jan 19 2022,To Committee On Committees (H),Jan 19 2022,https://openstates.org/ky/bills/2022RS/HB322/,Matt Lockett,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb322/orig_bill.pdf,6e70976d46c97c57b22714d973abecfd58c7294a
HB 2017,WV,Rewriting the Criminal Co...,Rewriting the Criminal Code,Jan 12 2022,To House Judiciary,Jan 12 2022,https://openstates.org/wv/bills/2022/HB2017/,Brandon Steele,Bryan Ward; George Miller; Guy Ward; Austin Haynes; Smith,http://www.legis.state.wv.us/Bill_Status/bills_text.cfm?billdoc=HB2017%20INTR.htm&yr=2022&sesstype=RS&i=2017,411a208a46db1b5422441fd1c3a6893f00092bc9
SB 1127,AZ,state agencies; payments;...,state agencies; payments; cryptocurrency,Jan 11 2022,Senate Second Reading,Jan 12 2022,https://openstates.org/az/bills/55th-2nd-regular/SB1127/,Wendy Rogers,,https://www.azleg.gov/legtext/55leg/2R/bills/SB1127P.htm,0e162e43d460b44e7043dc69238d2b217063a0b6
HB 1406,WA,Improving the equity of W...,Improving the equity of Washington state's tax code by creating the Washington state wealth tax and taxing extraordinary financial intangible assets.,Jan 27 2021,"By Resolution, Reintroduced And Retained In Present Status.",Jan 10 2022,https://openstates.org/wa/bills/2021-2022/HB1406/,Noel Frame,Pat Sullivan; Timm Ormsby; Lillian Ortiz-Self; Steve Kirby; Lauren Davis; Jessica Bateman; Javier Valdez; Shelley Kloba; Gerry Pollet; Amy Walen; Laurie Dolan; Tarra Simmons; Eileen Cody; Alex Ramel; Debra Lekanoff; Davina Duerr; Cindy Ryu; Liz Berry; Strom Peterson; David Hackney; Frank Chopp; Nicole Macri; Steve Bergquist; Marcus Riccelli; Kirsten Harris-Talley,http://lawfilesext.leg.wa.gov/Biennium/2021-22/Htm/Bills/House%20Bills/1406.htm,f536dce92e66c8c59127f1ebb63b5006e8f98047
A 8598,NY,Prohibits the investment ...,Prohibits the investment of certain public funds with companies conducting cryptocurrency business activities,Jan 10 2022,Referred To Governmental Employees,Jan 10 2022,https://openstates.org/ny/bills/2021-2022/A8598/,Harvey Epstein,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A8598&term=2021&Text=Y,9f9c77d9ba9dbc98ed3c7d9ddd8c1de665e49d20
HB 255,KY,AN ACT relating to the em...,AN ACT relating to the employer student loan repayment tax credit.,Jan 08 2022,To Committee On Committees (H),Jan 08 2022,https://openstates.org/ky/bills/2022RS/HB255/,Nima Kulkarni,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb255/orig_bill.pdf,cd7b277262e078a4035a48599727405f46d03416
S 5042,NY,Establishes a task force ...,Establishes a task force to study the impact of a state-issued cryptocurrency on the state of New York,Feb 22 2021,Referred To Finance,Jan 05 2022,https://openstates.org/ny/bills/2021-2022/S5042/,Kevin S. Parker,,http://assembly.state.ny.us/leg/?sh=printbill&bn=S5042&term=2021&Text=Y,70feb1e8679b339b15846e742f38a0016292ba9d
A 3336,NY,Relates to financial tech...,Relates to financial technology products and services; establishes a regulatory sandbox program,Jan 22 2021,Referred To Banks,Jan 05 2022,https://openstates.org/ny/bills/2021-2022/A3336/,Ron Kim,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A3336&term=2021&Text=Y,78b7eb3f78d643c35c887132a11e088b290188ca
A 3860,NY,Establishes a task force ...,Establishes a task force to study the impact of a state-issued cryptocurrency on the state of New York,Jan 28 2021,Referred To Governmental Operations,Jan 05 2022,https://openstates.org/ny/bills/2021-2022/A3860/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A3860&term=2021&Text=Y,281845192dc7284248176653f2123ce9680986c6
A 3906,NY,Establishes cryptocurrenc...,Establishes cryptocurrencies as a form of payment for state agencies,Jan 28 2021,Referred To Governmental Operations,Jan 05 2022,https://openstates.org/ny/bills/2021-2022/A3906/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A3906&term=2021&Text=Y,315be3c0eb4aa804466eebe3bea0d3018238589b
HB 115,KY,AN ACT related to a tax c...,AN ACT related to a tax credit for educator expense.,Dec 08 2021,To Committee On Committees (H),Jan 04 2022,https://openstates.org/ky/bills/2022RS/HB115/,Cherlynn Stevenson,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb115/orig_bill.pdf,3f4c46890aa376ca2280236a95700c27fff240a1
HB 187,KY,AN ACT relating to the ho...,AN ACT relating to the home modification tax credit.,Jan 04 2022,To Committee On Committees (H),Jan 04 2022,https://openstates.org/ky/bills/2022RS/HB187/,Al Gentry,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb187/orig_bill.pdf,b8e19d64f6255d84baf9d2dc223915b2f528c219
HB 164,KY,AN ACT relating to a tax ...,AN ACT relating to a tax credit for volunteer firefighters.,Dec 10 2021,To Committee On Committees (H),Jan 04 2022,https://openstates.org/ky/bills/2022RS/HB164/,Susan Westrom,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb164/orig_bill.pdf,c3ae4f3d0aaa7a00cbe90468ab8133d3224c9ecf
HB 109,KY,AN ACT relating to tax cr...,AN ACT relating to tax credits for airport noise mitigation.,Dec 06 2021,To Committee On Committees (H),Jan 04 2022,https://openstates.org/ky/bills/2022RS/HB109/,Russell Webber,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb109/orig_bill.pdf,94b85d5c14c250bc85a8a73e9bfb930fa50c1e8c
HB 47,KY,AN ACT relating to the pr...,AN ACT relating to the promotion of organ and bone marrow donation.,Aug 09 2021,To Committee On Committees (H),Jan 04 2022,https://openstates.org/ky/bills/2022RS/HB47/,Killian Timoney,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb47/orig_bill.pdf,59995f1d99cf24637e75b3bc31bbda233c346ba3
HB 36,KY,AN ACT relating to the ta...,AN ACT relating to the taxation of firearms and ammunition.,Jul 19 2021,To Committee On Committees (H),Jan 04 2022,https://openstates.org/ky/bills/2022RS/HB36/,Richard White,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb36/orig_bill.pdf,6571d93b19457d6423bf274cf6bae924467cb87d
HB 96,KY,AN ACT relating to an exe...,AN ACT relating to an exemption of income taxation for military pensions.,Dec 02 2021,To Committee On Committees (H),Jan 04 2022,https://openstates.org/ky/bills/2022RS/HB96/,Buddy Wheatley,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb96/orig_bill.pdf,23cb9cb709572ae9630260d3e286e94867c645ac
HB 125,KY,AN ACT relating to vetera...,AN ACT relating to veterans' income taxation.,Dec 09 2021,To Committee On Committees (H),Jan 04 2022,https://openstates.org/ky/bills/2022RS/HB125/,Bobby McCool,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb125/orig_bill.pdf,b6ff6459f7ba7e54fe0749e18e90d69131af5c9b
HB 143,KY,AN ACT relating to econom...,AN ACT relating to economic fiscal matters.,Dec 09 2021,To Committee On Committees (H),Jan 04 2022,https://openstates.org/ky/bills/2022RS/HB143/,James Tipton,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb143/orig_bill.pdf,fd0478efc54c880285b0be90d6ebebc5f1915c8e
SCONRES 18,US,ACCEPT Resolution,ACCEPT Resolution,Nov 01 2021,Introduced In Senate,Nov 01 2021,https://openstates.org/us/bills/117/SCONRES18/,Ted Cruz,,https://www.govinfo.gov/content/pkg/BILLS-117sconres18is/pdf/BILLS-117sconres18is.pdf,f656919894acb582e11dff843b2baa7c3faabdb1
HR 5501,US,Ransom Disclosure Act,Ransom Disclosure Act,Oct 05 2021,Referred To The Subcommittee On Consumer Protection And Commerce.,Oct 06 2021,https://openstates.org/us/bills/117/HR5501/,Deborah K. Ross,,https://www.govinfo.gov/content/pkg/BILLS-117hr5501ih/pdf/BILLS-117hr5501ih.pdf,0163ba2a32379f024ca8dd0d866564fb76c40ed7
S 2943,US,Ransom Disclosure Act,Ransom Disclosure Act,Oct 06 2021,Introduced In Senate,Oct 06 2021,https://openstates.org/us/bills/117/S2943/,Elizabeth A. Warren,,https://www.govinfo.gov/content/pkg/BILLS-117s2943is/pdf/BILLS-117s2943is.pdf,ae90824ad530f83b2e7de2c50a5d64ba5db718a1
S 2926,US,A bill to require certain...,"A bill to require certain entities to disclose to the Secretary of Homeland Security ransom payments, and for other purposes.",Oct 04 2021,Introduced In Senate,Oct 04 2021,https://openstates.org/us/bills/117/S2926/,Elizabeth A. Warren,,https://www.govinfo.gov/content/pkg/BILLS-117s2926is/pdf/BILLS-117s2926is.pdf,3aed9a0fd92fd9fe2f9b3de02db3df967f4b93d5
HR 5083,US,Cryptocurrency Tax Reform...,Cryptocurrency Tax Reform Act,Aug 23 2021,Introduced In House,Aug 23 2021,https://openstates.org/us/bills/117/HR5083/,Darren Soto,Ro Khanna; Byron Donalds,https://www.govinfo.gov/content/pkg/BILLS-117hr5083ih/pdf/BILLS-117hr5083ih.pdf,d4d249007afe8ba0875368ba8660a74fc8dd08bd
HR 5082,US,Cryptocurrency Tax Clarit...,Cryptocurrency Tax Clarity Act,Aug 23 2021,Introduced In House,Aug 23 2021,https://openstates.org/us/bills/117/HR5082/,Darren Soto,,https://www.govinfo.gov/content/pkg/BILLS-117hr5082ih/pdf/BILLS-117hr5082ih.pdf,a84bff67e24507d93f2ae4164e79f6ec3052012f
HR 5039,US,Hizballah in Latin Americ...,Hizballah in Latin America Accountability Act of 2021,Aug 13 2021,Introduced In House,Aug 13 2021,https://openstates.org/us/bills/117/HR5039/,Joe Wilson,Vicente Gonzalez; Maria Elvira Salazar,https://www.govinfo.gov/content/pkg/BILLS-117hr5039ih/pdf/BILLS-117hr5039ih.pdf,9985abbf8fb13e13850749b334fcacd9279e8c10
S 2666,US,Sanction and Stop Ransomw...,Sanction and Stop Ransomware Act of 2021,Aug 05 2021,Introduced In Senate,Aug 05 2021,https://openstates.org/us/bills/117/S2666/,Marco Rubio,Dianne Feinstein; Roy Blunt,https://www.govinfo.gov/content/pkg/BILLS-117s2666is/pdf/BILLS-117s2666is.pdf,bab7a898aeaf592eeaad9df87039f0d173400abb
HB 1724,PA,An Act establishing a tas...,An Act establishing a task force on digital currency and the impact on widespread use of cryptocurrency and other forms of digital currencies in this Commonwealth.,Jul 19 2021,Pn 1953 Referred To Commerce,Jul 19 2021,https://openstates.org/pa/bills/2021-2022/HB1724/,John T. Galloway,R. Lee James; Danilo Burgos; Brooks; Malcolm Kenyatta; Tina M. Davis; Benjamin V. Sanchez; Liz Hanbidge; Nick Pisciottano; Stephen Kinsey; Steven R. Malagari; Napoleon J. Nelson,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=1724&pn=1953,05212facc8f4960d1b701f5f9be36aec27b16e49
HR 3524,US,EAGLE Act,EAGLE Act,May 25 2021,Committee Consideration And Mark-Up Session Held.,Jul 15 2021,https://openstates.org/us/bills/117/HR3524/,Gregory W. Meeks,,https://www.govinfo.gov/content/pkg/BILLS-117hr3524ih/pdf/BILLS-117hr3524ih.pdf,2cc5f3932d592d3c774a03d1d11550751b790ad2
SB 103,DE,An Act To Amend Title 12 ...,An Act To Amend Title 12 Of The Delaware Code Relating To Unclaimed Property.,Apr 14 2021,Signed By Governor,Jun 30 2021,https://openstates.org/de/bills/151/SB103/,William Bush,Trey Paradee; Paul S. Baumbach; Gerald L. Brady,https://legis.delaware.gov/json/BillDetail/GenerateHtmlDocument?legislationId=58557&legislationTypeId=1&docTypeId=2&legislationName=SB103,3018b9aae033db9fe6f6699f171b8b21e57d04fe
S 1651,US,Hizballah in Latin Americ...,Hizballah in Latin America Accountability Act of 2021,May 13 2021,Introduced In Senate,May 13 2021,https://openstates.org/us/bills/117/S1651/,Marsha Blackburn,Jacklyn Rosen; Susan M. Collins; Charles E. Grassley; Joni Ernst,https://www.govinfo.gov/content/pkg/BILLS-117s1651is/pdf/BILLS-117s1651is.pdf,549f801b0978502b82ad491077b2926ae8166567
SF 970,MN,Omnibus judiciary and pub...,Omnibus judiciary and public safety policy and finance bill,Feb 11 2021,House Conferees Mariani; Becker-Finn; Moller; Frazier; Miller,Apr 27 2021,https://openstates.org/mn/bills/2021-2022/SF970/,Warren Limmer,Andrew Mathews; Mary Kiffmeyer; Zach Duckworth; Ron Latz; Carlos Mariani,https://www.revisor.mn.gov/bills/text.php?number=SF970&version=1&session=ls92&session_year=2021&session_number=0&type=ue,3c122e7c9d2b61e58b34f1bc212d5266ac6adf11
HR 33,LA,COMMENDATIONS: Commends B...,COMMENDATIONS: Commends Bitcoin and the cryptocurrency industry,Apr 21 2021,Taken By The Clerk Of The House And Presented To The Secretary Of State In Accordance With The Rules Of The House.,Apr 27 2021,https://openstates.org/la/bills/2021/HR33/,Mark Wright,,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1215864,b589b7adbc208ec560137435a4233acbd724c34d
HF 1078,MN,Omnibus public safety bil...,Omnibus public safety bill.,Feb 11 2021,Hf Indefinitely Postponed,Apr 17 2021,https://openstates.org/mn/bills/2021-2022/HF1078/,Carlos Mariani,,https://www.revisor.mn.gov/bills/text.php?number=HF1078&version=2&session=ls92&session_year=2021&session_number=0,187f703bd2228ad08e10e7ccfd60527a09f0a545
HF 1030,MN,Omnibus judiciary finance...,Omnibus judiciary finance bill.,Feb 11 2021,"Committee Report, To Adopt As Amended And Re-Refer To Ways And Means",Apr 09 2021,https://openstates.org/mn/bills/2021-2022/HF1030/,Jamie Becker-Finn,,https://www.revisor.mn.gov/bills/text.php?number=HF1030&version=1&session=ls92&session_year=2021&session_number=0,db3d3186490c19146194f370e808e5fab3f53129
HB 2017,WV,Rewriting the Criminal Co...,Rewriting the Criminal Code,Feb 10 2021,To House Judiciary,Apr 08 2021,https://openstates.org/wv/bills/2021/HB2017/,Brandon Steele,David Kelly; Bryan Ward; Barry Bruce; George Miller; Guy Ward; Austin Haynes; Steve Westfall; Joshua Higginbotham; Smith; Charlie Reynolds,http://www.legis.state.wv.us/legisdocs/chamber/2021/RS/com_amends/HB2017 S JUD AM _1 adopted.htm,411a208a46db1b5422441fd1c3a6893f00092bc9
HCR 118,HI,Requesting The Department...,"Requesting The Department Of Commerce And Consumer Affairs, Following The Completion Of The Department Of Commerce And Consumer Affairs' Division Of Financial Institutions' And Hawaii Technology Development Corporation'S Study, To Reconsider Its 2016 Ruling On Asset Reserve Requirements For Digital Currency Companies, Virtual Currency Companies, And Cryptocurrency Companies To Conduct Business In Hawaii And To Align The State'S Asset Reserve Requirements For These Companies With The Asset Reserve Requirements In Other States.",Mar 12 2021,"Referred To Cpn, Jdc/Wam.",Apr 01 2021,https://openstates.org/hi/bills/2021 Regular Session/HCR118/,Tina Wildberger,,https://capitol.hawaii.gov/session2021/bills/HCR118_.HTM,8ddb59db7fddb6ead8278bd8f96b6da5940c979a
HR 94,HI,Requesting The Department...,"Requesting The Department Of Commerce And Consumer Affairs, Following The Completion Of The Department Of Commerce And Consumer Affairs' Division Of Financial Institutions' And Hawaii Technology Development Corporation'S Study, To Reconsider Its 2016 Ruling On Asset Reserve Requirements For Digital Currency Companies, Virtual Currency Companies, And Cryptocurrency Companies To Conduct Business In Hawaii And To Align The State'S Asset Reserve Requirements For These Companies With The Asset Reserve Requirements In Other States.",Mar 12 2021,Resolution Adopted In Final Form.,Mar 31 2021,https://openstates.org/hi/bills/2021 Regular Session/HR94/,Tina Wildberger,,https://capitol.hawaii.gov/session2021/bills/HR94_.HTM,f7d37665bd8ae6ab11aa3e437cd8536c7b08eebc
AJR 6,CA,Relative to financial ins...,Relative to financial institutions.,Feb 16 2021,Referred To Com. On B. & F.,Mar 18 2021,https://openstates.org/ca/bills/20212022/AJR6/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202120220AJR6&version=20210AJR699INT,7e153d8e14f72b6a38e06f7ca191be2e3a71b09f
HF 75,MN,Vehicles and property sub...,"Vehicles and property subject to forfeiture limited, innocent owners provided property recovery, federal equitable sharing program participation modified, reports required, and money appropriated.",Jan 14 2021,Author Added Christensen,Mar 08 2021,https://openstates.org/mn/bills/2021-2022/HF75/,Kelly Moller,Jamie Becker-Finn; Peggy Scott; Zack Stephenson; Sandra Feist; Liz Olson; Athena Hollins; Kaohly Vang Her; Jamie Long; Liz Reyer; Erik Mortensen; Eric Lucero; Sandra Masin; Jessica Hanson; Frank Hornstein; Michelle (Shelly) Christensen,https://www.revisor.mn.gov/bills/text.php?number=HF75&version=3&session=ls92&session_year=2021&session_number=0,c14bbc6936d91f85f24604f047c7d7c32ebee722
SF 444,MN,Motor vehicles and other ...,Motor vehicles and other property subject to forfeiture limit; property recovery by innocent owners; federal equitable sharing program participation modification; appropriations,Jan 28 2021,Author Added Bigham,Feb 15 2021,https://openstates.org/mn/bills/2021-2022/SF444/,Johnson,Foung Hawj; Karla Bigham,https://www.revisor.mn.gov/bills/text.php?number=SF444&version=0&session=ls92&session_year=2021&session_number=0,09617b2b1dfb3b5363f89948a2b8e8d371bc2adb
HB 4113,MI,Crimes: prostitution; ref...,"Crimes: prostitution; references to prostitute and prostitution; modify in the Michigan penal code. Amends secs. 13, 159g & 411j of 1931 PA 328 (MCL 750.13 et seq.).  TIE BAR WITH: HB 4112'21",Feb 03 2021,Bill Electronically Reproduced 02/03/2021,Feb 04 2021,https://openstates.org/mi/bills/2021-2022/HB4113/,Pauline Wendzel,"Annette Glenn; Karen Whitsett; Mary Whiteford; Julie Calley; Bronna Kahle; Felicia Brabec; Daire Rendon; Brad Paquette; Ann M. Bollin; Douglas Wozniak; Donna Lasinski; Cara Clemente; Abdullah Hammoud; Kara Hope; Sarah Anthony; Shri Thanedar; Kyra Harris Bolden; Lori Stone; Sue Allor; Jewell
 Jones; Tenisha Yancey",http://legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4113.htm,da5fd31992cee628c5bccf18a6119a8273b7f7e3
